genre,playlist_id
west coast rap,3tSxvStT2zgdgPcTxLdI3g
opm,2LfEVQ7ETewcpbNa2IVsH7
boy band,5MqoSHN1RNzdKd5T1QCN8S
psychedelic rock,7mXRIC5bSB6ZWOEPNfP0hl
glam metal,7yC6AO4CRgiFDjhYUkPUzX
stomp and holler,3zVZ3GsfiYp0vlVazHcDXI
desi hip hop,7hCUgCmtC02mQe4lUg5ZSs
ccm,5prvXHLGfLtWJ7tB4W8Fvl
rage rap,54j0DPxOen62HcPCc2Pmoe
hip pop,1btVAcL1TR8anpF72xgvjB
puerto rican pop,0KPfijR82jvlPTnt3Hmu2Q
german pop,4pCmObKUeRQFFsF2nXu9t8
miami hip hop,4F2wv2RnXpmVW86K7Z2Es2
argentine rock,70yDbCeImYqhxCDRU0qXpd
sertanejo pop,1JsjFOxcEp912tK85VC98V
tropical,5pkSkAC6JTpIgg0zSQoWdF
glam rock,71LnSyxXMKcxgJSAhC1KDK
funk carioca,1aAckG2NI0cuL7QDKVeV2N
nigerian pop,7MwdQNmdKjQx3h1p3vP2eZ
argentine hip hop,6tT2e2rcnpUrywDkmgSASj
dark trap,1lEZC1rWlusGF0IC6JxR5V
latin viral pop,6yZCXdIyG6jxAnWnm2wXKp
piano rock,5rVVQKO7UFXkwpt7jF1Ne4
detroit hip hop,7gIFgVQoSml3JocSRd2t4S
italian adult pop,4APG0kwkbEt77VxOuqKCUl
country rock,2yykv7TMUr4jPHPAE8Q3vW
underground hip hop,6d99h91us5ozdlNDvaeyXn
mexican hip hop,0zTflwpEJVMnCOSmExgS75
progressive electro house,6j9xPeEsHgCS1eZW0HsIsk
synthpop,71wpwg8KzRxx240DcJx2EE
metropopolis,70z5dMlsS9fPudWdQ9ebqP
garage rock,4Wnjv0bnb6Y7Il7WhEJC3x
indie folk,5Z5KHMrb3bNWGOZJ6y8gsL
vocal jazz,2ZazIXecBCVmTlbyKJHxOc
classical,3HYK6ri0GkvRcM6GkKh0hJ
europop,4vuWieduKii4KZrUboVr9d
progressive house,3ApHTzZrOMqtDhnyiBSSci
art rock,6PimpDQHW8sNtGfz1jDTAi
yacht rock,1imbMwZYgwB2NCAVPkq5sZ
mpb,0Fr9ysvU9XjFBMl4Rhl755
pagode,2mL2d1k8Vxlf4P4q6JqcAv
tropical house,5Z4GsFxPRJiN9Qme2P9q6H
urbano espanol,6gpELhsiYJyaL13srOlTMQ
chamber pop,1UqeJ3nLHNDOlA6zwFkimJ
rap francais,0iWAjJOZQvLdbYeBDisvdT
dance rock,3PgRe3aEtNXhWm9GOUgOdG
j-rock,537P5gB83q9AmtDFdFNBLO
polish hip hop,1DXuK8SBX4BNVEkZ4ifHBJ
sleep,0cuaFpexE9V0zr3s7l6yjR
folk,4JuKjgd76AZn2fUaeXNCuo
anime,5fSZTu6aISl80OPrmGu79j
trap brasileiro,6u3BeKMf8CUZe4ab0HtNbT
disco,0ZVSWcJIf7cvycEn9HUvps
pluggnb,5eUTjCgIZ8jNCpQRHbxltu
british soul,4Ar1S6TuqmS0R2RV59AR1k
metalcore,71kedeh6L7P0equUL0vOqe
australian pop,67qIuPZRX12l7yMpxBQpxs
uk hip hop,4Ek92zIh4Sq5IVU9Mgv7d6
christian music,1b1BPM9hp5Q0eI7yuGTaot
gen z singer-songwriter,5nUyv9wyZKjdUW1rk3smTo
electropop,1BYospE2cLB28m3i84dcTV
big room,70E7wtl8eL3IG2kpaWok6E
forro,6aRR1ZmHR6ehjbhlsoctG1
swedish pop,6mvBNM74d828wcEy9Bpb46
classic oklahoma country,4swO9BLJdUIGuNJii0IXLI
reggaeton flow,2HZIaMnfPMDf24XjrNXaMt
pop nacional,4yf2dXdO6U7TVDXZMbm8nY
british invasion,4UptWIEPwIimCpCHayG4yZ
mexican rock,5FI68jaboLczr9zIUVfQPW
indie soul,2I4WRSnG0wVgkbSasDUqKp
contemporary r&b,1rlHnACGatHAOQrZ3WjEI3
folk-pop,1RWc3d424qgjr8HTwCVh6A
white noise,7j5QgrOCOptczCKI74BK39
pagode novo,3U903ICkXhjRoPgPrG4O1j
soundtrack,2RmQ1WAONeEih0FWEK7CW5
funk metal,6JqQli6WY1G043Mihy3MBp
grunge,2PNaFf1DInEl8NJSdkE4F4
french pop,03csHhetcFo29YHV4Z9A3g
emo rap,0Fz9zaKbug4gw1xTvmTUWI
salsa,58ELr3yC5uxg8QsQWD8Lmy
rain,4NVJ5W2V7pgadk3yXliHTD
r&b francais,2UOSW9qb7oKPK0myr9I7vE
lgbtq+ hip hop,0njc7Pu7XGeU25wdaJRdLm
turkish rock,0aOQSNOuSE84kP4epEGVou
memphis hip hop,1rmskknWn4KPtEC6PHh2Rd
mariachi,5eAqREKMQTvNSVE3R8oVEj
brostep,6dvgLyeXG3HLGqtMa8wAX0
classic soul,1eWqWLqf2wmssHJFvNLK2P
funk mtg,7qgTJhcHV88KAk7zILiOLL
trap triste,1uE60pEQpaIgUT3T7Voloi
dirty south rap,3l6M4SAmRg9L0DlalK76H8
melodic metalcore,4PsFYH9aJDNjy7iwkWag7S
blues rock,2kISScyTs0we9kzH9MKEMb
alternative hip hop,2kHQTJJWXc54i8mX8ndYdf
melancholia,6gB4lvhZqPfknvnw2iNwL6
pop soul,0ShRnc2cyEyxkLbtZC4Yim
brazilian gospel,6Xxksk0PXng2x9zF30Yzg7
outlaw country,5D1IoXQGtdt84Mx8QvvSSY
orchestral soundtrack,4a5OYJObN9YJPpfBuP2L22
dutch house,2A2qSpDa4K8gD55D7sDJe7
turkish hip hop,4t5PSWEsLQeZ4i90PEpW9i
queens hip hop,0AxeQveEqk8X42sovBCls8
christian alternative rock,3P1RRrVtaVLBTOvvNm8k8N
mandopop,4EIGwSoao5WkHd5YVP4CfG
lounge,7jk0EKyr4Lc4jc4XPE4ycL
worship,1auZ2gm318zSzLhrknJtVw
dfw rap,6ze96fv5x3AklLyAqxPPv8
electronica,6I0NsYzfoj7yHXyvkZYoRx
pixel,0t85wrZwJdkmcL015OytYz
trap italiana,6AxIe6nptUOe8jJ4LeNptt
pop reggaeton,7dWozFDD5uTTmEFMcQtGZj
new orleans rap,41wq6c8ic47zFa4ixRZp6P
otacore,5UBQfw8fKxi6ADXxUdUT2K
rock-and-roll,34bhxCaWrYi4kF67mNYiXW
funk,0MBvtOIm5fuBbRHEltDY8A
quiet storm,66k6nBXFo6of5ckPWCuCSi
motown,28UOzZyORCx38D8dKe3fsq
japanese teen pop,6Wz5IiVGjSDWQmMlPxHcjg
brazilian hip hop,2CBOZqWolmSfOeXAo8mCFZ
gruperas inmortales,7fwQCsCDYxnmWtXUkETn3v
kleine hoerspiel,27XLynMa4krkiA9piuqyT1
indie poptimism,7nHgmv7uyIA1KHj6qTttjH
dream pop,2A5zN7OTP4n64gEtsFEO2Z
rap conscient,3kYWjrbBEvI8n3bPI2ZRml
neo-synthpop,2U7wEb4EEDbiAs3CCOoUfn
funk rock,2v7uYvX2h5hNSukaqp9LCb
easy listening,47RSt6JBM6AbqBxtggW1Jk
bolero,40h91GpdbHja6VVsnetD0r
g funk,7c1Z3aCJLt7YisQQyXwypK
